Attribute,Type,Operators,Description
rcsb_branched_entity_instance_container_identifiers.asym_id,string,in exact_match exists,Instance identifier for this container.
rcsb_branched_entity_instance_container_identifiers.auth_asym_id,string,in exact_match exists,Author instance identifier for this container.
rcsb_branched_entity_instance_container_identifiers.entity_id,string,in exact_match exists,Entity identifier for the container.
rcsb_branched_entity_instance_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_branched_entity_instance_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity instance container formed by  an 'dot' (.) separated concatenation of entry and entity instance identifiers.
rcsb_branched_instance_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_branched_instance_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_branched_instance_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_branched_instance_annotation.type,string,in exact_match exists,"A type or category of the annotation. Allowed Values: CATH, SCOP"
rcsb_branched_instance_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_branched_instance_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_branched_instance_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_branched_instance_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count.
rcsb_branched_instance_feature_summary.coverage,number,equals greater less greater_or_equal less_or_equal range exists,The fractional feature coverage relative to the full branched entity.
rcsb_branched_instance_feature_summary.maximum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The maximum feature length.
rcsb_branched_instance_feature_summary.minimum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The minimum feature length.
rcsb_branched_instance_feature_summary.type,string,in exact_match exists,"Type or category of the feature. Allowed Values: BINDING_SITE, CATH, MOGUL_ANGLE_OUTLIER, MOGUL_BOND_OUTLIER, RSCC_OUTLIER, RSRZ_OUTLIER, SCOP, STEREO_OUTLIER, UNOBSERVED_ATOM_XYZ, UNOBSERVED_RESIDUE_XYZ, ZERO_OCCUPANCY_ATOM_XYZ, ZERO_OCCUPANCY_RESIDUE_XYZ"
rcsb_ligand_neighbors.distance,number,equals greater less greater_or_equal less_or_equal range exists,Distance value for this ligand interaction.
rcsb_ligand_neighbors.ligand_asym_id,string,in exact_match exists,The entity instance identifier for the ligand interaction.
rcsb_ligand_neighbors.ligand_comp_id,string,in exact_match exists,The chemical component identifier for the ligand interaction.
rcsb_ligand_neighbors.ligand_entity_id,string,in exact_match exists,The entity identifier for the ligand of interaction.
rcsb_ligand_neighbors.ligand_is_bound,string,in exact_match exists,"A flag to indicate the nature of the ligand interaction is covalent or metal-coordination. Allowed Values: N, Y"
rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity instance container formed by  an 'dot' (.) separated concatenation of entry and entity instance identifiers.
pdbx_entity_branch.rcsb_branched_component_count,integer,equals greater less greater_or_equal less_or_equal range exists,Number of constituent chemical components in the branched entity.
pdbx_entity_branch.type,string,in exact_match exists,The type of this branched oligosaccharide. Allowed Values: oligosaccharide
pdbx_entity_branch_descriptor.descriptor,string,in exact_match contains_phrase contains_words exists,This data item contains the descriptor value for this  entity.
pdbx_entity_branch_descriptor.type,string,in exact_match exists,"This data item contains the descriptor type. Allowed Values: Glycam Condensed Core Sequence, Glycam Condensed Sequence, LINUCS, WURCS"
rcsb_branched_entity.details,string,contains_phrase contains_words exists,A description of special aspects of the branched entity.
rcsb_branched_entity.formula_weight,number,equals greater less greater_or_equal less_or_equal range exists,Formula mass (KDa) of the branched entity.
rcsb_branched_entity.pdbx_description,string,in exact_match contains_phrase contains_words exists,A description of the branched entity.
rcsb_branched_entity.pdbx_number_of_molecules,integer,equals greater less greater_or_equal less_or_equal range exists,The number of molecules of the branched entity in the entry.
rcsb_branched_entity_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_branched_entity_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_branched_entity_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_branched_entity_annotation.type,string,in exact_match exists,A type or category of the annotation.
rcsb_branched_entity_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_branched_entity_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_branched_entity_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_branched_entity_container_identifiers.chem_comp_monomers,string,in exact_match exists,Unique list of monomer chemical component identifiers in the entity in this container.
rcsb_branched_entity_container_identifiers.chem_ref_def_id,string,in exact_match exists,The chemical reference definition identifier for the entity in this container.
rcsb_branched_entity_container_identifiers.entity_id,string,in exact_match exists,Entity identifier for the container.
rcsb_branched_entity_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_branched_entity_container_identifiers.prd_id,string,in exact_match exists,The BIRD identifier for the entity in this container.
rcsb_branched_entity_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity container formed by  an underscore separated concatenation of entry and entity identifiers.
rcsb_branched_entity_container_identifiers.reference_identifiers.resource_accession,string,in exact_match exists,Reference resource accession code
rcsb_branched_entity_container_identifiers.reference_identifiers.resource_name,string,in exact_match exists,"Reference resource name Allowed Values: GlyCosmos, GlyGen, GlyTouCan"
rcsb_branched_entity_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count.
rcsb_branched_entity_feature_summary.coverage,number,equals greater less greater_or_equal less_or_equal range exists,The fractional feature coverage relative to the full branched entity.
rcsb_branched_entity_feature_summary.maximum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The maximum feature length.
rcsb_branched_entity_feature_summary.minimum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The minimum feature length.
rcsb_branched_entity_feature_summary.type,string,in exact_match exists,Type or category of the feature. Allowed Values: mutation
rcsb_branched_entity_keywords.text,string,contains_phrase contains_words exists,Keywords describing this branched entity.
rcsb_branched_entity_name_com.name,string,contains_phrase contains_words exists,A common name for the branched entity.
rcsb_branched_entity_name_sys.name,string,contains_phrase contains_words exists,The systematic name for the branched entity.
audit_author.identifier_ORCID,string,in exact_match exists,The Open Researcher and Contributor ID (ORCID).
audit_author.name,string,in exact_match contains_phrase contains_words exists,"The name of an author of this data block. If there are multiple  authors, _audit_author.name is looped with _audit_author.address.  The family name(s), followed by a comma and including any  dynastic components, precedes the first name(s) or initial(s)."
cell.angle_alpha,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle alpha of the reported structure in degrees.
cell.angle_beta,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle beta of the reported structure in degrees.
cell.angle_gamma,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle gamma of the reported structure in degrees.
cell.length_a,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length a corresponding to the structure reported in angstroms.
cell.length_b,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length b corresponding to the structure reported in  angstroms.
cell.length_c,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length c corresponding to the structure reported in angstroms.
citation.book_title,string,contains_phrase contains_words exists,The title of the book in which the citation appeared; relevant  for books or book chapters.
citation.id,string,in exact_match exists,The value of _citation.id must uniquely identify a record in the  CITATION list.  The _citation.id 'primary' should be used to indicate the  citation that the author(s) consider to be the most pertinent to  the contents of the data block.  Note that this item need not be a number; it can be any unique  identifier.
citation.journal_abbrev,string,in exact_match exists,Abbreviated name of the cited journal as given in the  Chemical Abstracts Service Source Index.
citation.journal_id_ASTM,string,in exact_match exists,The American Society for Testing and Materials (ASTM) code  assigned to the journal cited (also referred to as the CODEN  designator of the Chemical Abstracts Service); relevant for  journal articles.
citation.journal_id_ISSN,string,in exact_match exists,The International Standard Serial Number (ISSN) code assigned to  the journal cited; relevant for journal articles.
citation.pdbx_database_id_DOI,string,in exact_match exists,Document Object Identifier used by doi.org to uniquely  specify bibliographic entry.
citation.rcsb_authors,string,in exact_match contains_phrase contains_words exists,"Names of the authors of the citation; relevant for journal  articles, books and book chapters. Names are separated by vertical bars.  The family name(s), followed by a comma and including any  dynastic components, precedes the first name(s) or initial(s)."
citation.rcsb_is_primary,string,in exact_match exists,"Flag to indicate a primary citation. Allowed Values: N, Y"
citation.rcsb_journal_abbrev,string,in exact_match exists,Normalized journal abbreviation.
citation.title,string,contains_phrase contains_words exists,"The title of the citation; relevant for journal articles, books  and book chapters."
citation.unpublished_flag,string,in exact_match exists,"Flag to indicate that this citation will not be published. Allowed Values: N, Y"
citation.year,integer,equals greater less greater_or_equal less_or_equal range exists,"The year of the citation; relevant for journal articles, books  and book chapters."
diffrn.ambient_pressure,number,equals greater less greater_or_equal less_or_equal range exists,The mean hydrostatic pressure in kilopascals at which the  intensities were measured.
diffrn.ambient_temp,number,equals greater less greater_or_equal less_or_equal range exists,The mean temperature in kelvins at which the intensities were  measured.
diffrn.crystal_support,string,contains_phrase contains_words exists,The physical device used to support the crystal during data  collection.
diffrn.details,string,contains_phrase contains_words exists,"Special details of the diffraction measurement process. Should  include information about source instability, crystal motion,  degradation and so on."
diffrn.pdbx_serial_crystal_experiment,string,contains_phrase contains_words exists,Y/N if using serial crystallography experiment in which multiple crystals contribute to each diffraction frame in the experiment.
diffrn_detector.details,string,contains_phrase contains_words exists,A description of special aspects of the radiation detector.
diffrn_detector.detector,string,contains_phrase contains_words exists,The general class of the radiation detector.
diffrn_detector.pdbx_collection_date,date,equals greater less greater_or_equal less_or_equal range exists,The date of data collection.
diffrn_detector.type,string,in exact_match contains_phrase contains_words exists,"The make, model or name of the detector device used."
diffrn_radiation.collimation,string,contains_phrase contains_words exists,The collimation or focusing applied to the radiation.
diffrn_radiation.monochromator,string,contains_phrase contains_words exists,"The method used to obtain monochromatic radiation. If a mono-  chromator crystal is used, the material and the indices of the  Bragg reflection are specified."
diffrn_radiation.pdbx_diffrn_protocol,string,contains_phrase contains_words exists,"SINGLE WAVELENGTH, LAUE, or MAD."
diffrn_source.details,string,contains_phrase contains_words exists,A description of special aspects of the radiation source used.
diffrn_source.pdbx_synchrotron_beamline,string,in exact_match exists,Synchrotron beamline.
diffrn_source.pdbx_synchrotron_site,string,in exact_match exists,Synchrotron site.
diffrn_source.source,string,in exact_match contains_phrase contains_words exists,The general class of the radiation source.
diffrn_source.type,string,contains_phrase contains_words exists,"The make, model or name of the source of radiation."
em_2d_crystal_entity.angle_gamma,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle gamma in degrees.
em_2d_crystal_entity.c_sampling_length,number,equals greater less greater_or_equal less_or_equal range exists,Length used to sample the reciprocal lattice lines in the c-direction.
em_2d_crystal_entity.length_a,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length a in angstroms.
em_2d_crystal_entity.length_b,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell length b in angstroms.
em_2d_crystal_entity.length_c,number,equals greater less greater_or_equal less_or_equal range exists,Thickness of 2D crystal
em_3d_crystal_entity.angle_alpha,number,equals greater less greater_or_equal less_or_equal range exists,Unit-cell angle alpha in degrees.
